phase,url,user_agent,http_status,robots_policy,verification,limitations
baseline,https://rust.robertdevore.com/robots.txt,Googlebot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/sitemap.xml,Googlebot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/,Googlebot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/course/03-ownership/,Googlebot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/robots.txt,bingbot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/sitemap.xml,bingbot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/,bingbot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/course/03-ownership/,bingbot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/robots.txt,OAI-SearchBot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/sitemap.xml,OAI-SearchBot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/,OAI-SearchBot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/course/03-ownership/,OAI-SearchBot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/robots.txt,ChatGPT-User,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/sitemap.xml,ChatGPT-User,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/,ChatGPT-User,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/course/03-ownership/,ChatGPT-User,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/robots.txt,GPTBot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/sitemap.xml,GPTBot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/,GPTBot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/course/03-ownership/,GPTBot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/robots.txt,Claude-SearchBot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/sitemap.xml,Claude-SearchBot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/,Claude-SearchBot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/course/03-ownership/,Claude-SearchBot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/robots.txt,Claude-User,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/sitemap.xml,Claude-User,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/,Claude-User,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/course/03-ownership/,Claude-User,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/robots.txt,ClaudeBot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/sitemap.xml,ClaudeBot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/,ClaudeBot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
baseline,https://rust.robertdevore.com/course/03-ownership/,ClaudeBot,200,existing wildcard Allow: /; unchanged,accessible,Spoofed UA from audit host; does not prove verified-bot IP access or actual crawl/indexing.
