phase,url,local_status,production_status,page_depth,orphan
baseline,https://rust.robertdevore.com/,200,200,0,False
baseline,https://rust.robertdevore.com/course/,200,200,1,False
baseline,https://rust.robertdevore.com/course/01-start/,200,200,1,False
baseline,https://rust.robertdevore.com/course/02-values/,200,200,2,False
baseline,https://rust.robertdevore.com/course/03-ownership/,200,200,1,False
baseline,https://rust.robertdevore.com/course/04-borrowing/,200,200,2,False
baseline,https://rust.robertdevore.com/course/05-text/,200,200,2,False
baseline,https://rust.robertdevore.com/course/06-model/,200,200,2,False
baseline,https://rust.robertdevore.com/course/07-errors/,200,200,2,False
baseline,https://rust.robertdevore.com/course/08-first-build/,200,200,2,False
baseline,https://rust.robertdevore.com/course/09-lifetimes/,200,200,2,False
baseline,https://rust.robertdevore.com/course/10-traits/,200,200,2,False
baseline,https://rust.robertdevore.com/course/11-iterators/,200,200,2,False
baseline,https://rust.robertdevore.com/course/12-reader/,200,200,2,False
baseline,https://rust.robertdevore.com/course/13-cargo/,200,200,2,False
baseline,https://rust.robertdevore.com/course/14-testing/,200,200,2,False
baseline,https://rust.robertdevore.com/course/15-interior/,200,200,2,False
baseline,https://rust.robertdevore.com/course/16-threads/,200,200,2,False
baseline,https://rust.robertdevore.com/course/17-synchronization/,200,200,2,False
baseline,https://rust.robertdevore.com/course/18-atomics/,200,200,2,False
baseline,https://rust.robertdevore.com/course/19-futures/,200,200,2,False
baseline,https://rust.robertdevore.com/course/20-async/,200,200,2,False
baseline,https://rust.robertdevore.com/course/21-pin/,200,200,2,False
baseline,https://rust.robertdevore.com/course/22-async-build/,200,200,2,False
baseline,https://rust.robertdevore.com/course/23-unsafe/,200,200,2,False
baseline,https://rust.robertdevore.com/course/24-performance/,200,200,2,False
baseline,https://rust.robertdevore.com/course/25-horizon/,200,200,2,False
baseline,https://rust.robertdevore.com/course/26-interop/,200,200,2,False
baseline,https://rust.robertdevore.com/course/27-capstone/,200,200,1,False
baseline,https://rust.robertdevore.com/course/28-release/,200,200,2,False
baseline,https://rust.robertdevore.com/practice/,200,200,1,False
baseline,https://rust.robertdevore.com/about/,200,200,1,False
