phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action
baseline,https://rust.robertdevore.com/,https://github.com/robertdevore/rust.robertdevore.com,Source & exercises ↗,div,200,https://github.com/robertdevore/rust.robertdevore.com,0,valid,,
baseline,https://rust.robertdevore.com/course/,https://github.com/robertdevore/rust.robertdevore.com,Source & exercises ↗,div,200,https://github.com/robertdevore/rust.robertdevore.com,0,valid,,
baseline,https://rust.robertdevore.com/course/01-start/,https://rust-lang.org/tools/install/,the official installer,p,200,https://rust-lang.org/tools/install/,0,valid,,
baseline,https://rust.robertdevore.com/course/01-start/,https://github.com/robertdevore/rust.robertdevore.com,course repository,p,200,https://github.com/robertdevore/rust.robertdevore.com,0,valid,,
baseline,https://rust.robertdevore.com/course/01-start/,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/01_setup.rs,View the tested source,p,200,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/01_setup.rs,0,valid,,
baseline,https://rust.robertdevore.com/course/01-start/,https://doc.rust-lang.org/cargo/getting-started/first-steps.html,Cargo's first steps,p,200,https://doc.rust-lang.org/cargo/getting-started/first-steps.html,0,valid,,
baseline,https://rust.robertdevore.com/course/01-start/,https://doc.rust-lang.org/edition-guide/editions/index.html,Edition Guide,p,200,https://doc.rust-lang.org/edition-guide/editions/index.html,0,valid,,
baseline,https://rust.robertdevore.com/course/01-start/,https://github.com/robertdevore/rust.robertdevore.com,Source & exercises ↗,div,200,https://github.com/robertdevore/rust.robertdevore.com,0,valid,,
baseline,https://rust.robertdevore.com/course/02-values/,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/02_values.rs,View the tested source,p,200,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/02_values.rs,0,valid,,
baseline,https://rust.robertdevore.com/course/02-values/,https://doc.rust-lang.org/std/primitive.u32.html,primitive numeric types,p,200,https://doc.rust-lang.org/std/primitive.u32.html,0,valid,,
baseline,https://rust.robertdevore.com/course/02-values/,https://doc.rust-lang.org/book/ch03-05-control-flow.html,control flow,p,200,https://doc.rust-lang.org/book/ch03-05-control-flow.html,0,valid,,
baseline,https://rust.robertdevore.com/course/02-values/,https://doc.rust-lang.org/reference/statements-and-expressions.html,statements and expressions,p,200,https://doc.rust-lang.org/reference/statements-and-expressions.html,0,valid,,
baseline,https://rust.robertdevore.com/course/02-values/,https://github.com/robertdevore/rust.robertdevore.com,Source & exercises ↗,div,200,https://github.com/robertdevore/rust.robertdevore.com,0,valid,,
baseline,https://rust.robertdevore.com/course/03-ownership/,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/03_ownership.rs,View the tested source,p,200,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/03_ownership.rs,0,valid,,
baseline,https://rust.robertdevore.com/course/03-ownership/,https://doc.rust-lang.org/reference/expressions.html#place-expressions-and-value-expressions,places and moves,p,200,https://doc.rust-lang.org/reference/expressions.html,0,valid,,
baseline,https://rust.robertdevore.com/course/03-ownership/,https://doc.rust-lang.org/reference/destructors.html,destructors,p,200,https://doc.rust-lang.org/reference/destructors.html,0,valid,,
baseline,https://rust.robertdevore.com/course/03-ownership/,https://doc.rust-lang.org/std/marker/trait.Copy.html,Copy,p,200,https://doc.rust-lang.org/std/marker/trait.Copy.html,0,valid,,
baseline,https://rust.robertdevore.com/course/03-ownership/,https://github.com/robertdevore/rust.robertdevore.com,Source & exercises ↗,div,200,https://github.com/robertdevore/rust.robertdevore.com,0,valid,,
baseline,https://rust.robertdevore.com/course/04-borrowing/,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/04_borrowing.rs,View the tested source,p,200,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/04_borrowing.rs,0,valid,,
baseline,https://rust.robertdevore.com/course/04-borrowing/,https://doc.rust-lang.org/book/ch04-02-references-and-borrowing.html,borrowing,p,200,https://doc.rust-lang.org/book/ch04-02-references-and-borrowing.html,0,valid,,
baseline,https://rust.robertdevore.com/course/04-borrowing/,https://rustc-dev-guide.rust-lang.org/borrow_check.html,borrow-checking internals,p,200,https://rustc-dev-guide.rust-lang.org/borrow_check.html,0,valid,,
baseline,https://rust.robertdevore.com/course/04-borrowing/,https://doc.rust-lang.org/std/primitive.slice.html#method.split_at_mut,split_at_mut,p,200,https://doc.rust-lang.org/std/primitive.slice.html,0,valid,,
baseline,https://rust.robertdevore.com/course/04-borrowing/,https://github.com/robertdevore/rust.robertdevore.com,Source & exercises ↗,div,200,https://github.com/robertdevore/rust.robertdevore.com,0,valid,,
baseline,https://rust.robertdevore.com/course/05-text/,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/05_text.rs,View the tested source,p,200,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/05_text.rs,0,valid,,
baseline,https://rust.robertdevore.com/course/05-text/,https://doc.rust-lang.org/std/primitive.str.html,str,p,200,https://doc.rust-lang.org/std/primitive.str.html,0,valid,,
baseline,https://rust.robertdevore.com/course/05-text/,https://doc.rust-lang.org/std/vec/struct.Vec.html,Vec,p,200,https://doc.rust-lang.org/std/vec/struct.Vec.html,0,valid,,
baseline,https://rust.robertdevore.com/course/05-text/,https://doc.rust-lang.org/std/collections/index.html,collections,p,200,https://doc.rust-lang.org/std/collections/index.html,0,valid,,
baseline,https://rust.robertdevore.com/course/05-text/,https://github.com/robertdevore/rust.robertdevore.com,Source & exercises ↗,div,200,https://github.com/robertdevore/rust.robertdevore.com,0,valid,,
baseline,https://rust.robertdevore.com/course/06-model/,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/06_model.rs,View the tested source,p,200,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/06_model.rs,0,valid,,
baseline,https://rust.robertdevore.com/course/06-model/,https://doc.rust-lang.org/book/ch06-00-enums.html,enums and matching,p,200,https://doc.rust-lang.org/book/ch06-00-enums.html,0,valid,,
baseline,https://rust.robertdevore.com/course/06-model/,https://doc.rust-lang.org/reference/visibility-and-privacy.html,visibility,p,200,https://doc.rust-lang.org/reference/visibility-and-privacy.html,0,valid,,
baseline,https://rust.robertdevore.com/course/06-model/,https://rust-lang.github.io/api-guidelines/,API guidelines,p,200,https://rust-lang.github.io/api-guidelines/,0,valid,,
baseline,https://rust.robertdevore.com/course/06-model/,https://github.com/robertdevore/rust.robertdevore.com,Source & exercises ↗,div,200,https://github.com/robertdevore/rust.robertdevore.com,0,valid,,
baseline,https://rust.robertdevore.com/course/07-errors/,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/07_errors.rs,View the tested source,p,200,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/07_errors.rs,0,valid,,
baseline,https://rust.robertdevore.com/course/07-errors/,https://doc.rust-lang.org/std/result/,Result,p,200,https://doc.rust-lang.org/std/result/,0,valid,,
baseline,https://rust.robertdevore.com/course/07-errors/,https://doc.rust-lang.org/std/error/trait.Error.html,Error,p,200,https://doc.rust-lang.org/std/error/trait.Error.html,0,valid,,
baseline,https://rust.robertdevore.com/course/07-errors/,https://github.com/dtolnay/thiserror,thiserror's maintainer documentation,p,200,https://github.com/dtolnay/thiserror,0,valid,,
baseline,https://rust.robertdevore.com/course/07-errors/,https://github.com/robertdevore/rust.robertdevore.com,Source & exercises ↗,div,200,https://github.com/robertdevore/rust.robertdevore.com,0,valid,,
baseline,https://rust.robertdevore.com/course/08-first-build/,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/08_stage_one.rs,View the tested source,p,200,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/08_stage_one.rs,0,valid,,
baseline,https://rust.robertdevore.com/course/08-first-build/,https://doc.rust-lang.org/std/primitive.str.html#method.lines,str::lines,p,200,https://doc.rust-lang.org/std/primitive.str.html,0,valid,,
baseline,https://rust.robertdevore.com/course/08-first-build/,https://doc.rust-lang.org/std/primitive.str.html#method.split_once,split_once,p,200,https://doc.rust-lang.org/std/primitive.str.html,0,valid,,
baseline,https://rust.robertdevore.com/course/08-first-build/,https://github.com/robertdevore/rust.robertdevore.com,Source & exercises ↗,div,200,https://github.com/robertdevore/rust.robertdevore.com,0,valid,,
baseline,https://rust.robertdevore.com/course/09-lifetimes/,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/09_lifetimes.rs,View the tested source,p,200,https://github.com/robertdevore/rust.robertdevore.com/blob/main/examples/09_lifetimes.rs,0,valid,,
baseline,https://rust.robertdevore.com/course/09-lifetimes/,https://doc.rust-lang.org/reference/lifetime-elision.html,lifetime elision,p,200,https://doc.rust-lang.org/reference/lifetime-elision.html,0,valid,,
baseline,https://rust.robertdevore.com/course/09-lifetimes/,https://doc.rust-lang.org/reference/trait-bounds.html,trait and lifetime bounds,p,200,https://doc.rust-lang.org/reference/trait-bounds.html,0,valid,,
baseline,https://rust.robertdevore.com/course/09-lifetimes/,https://doc.rust-lang.org/book/ch10-03-lifetime-syntax.html,lifetime syntax,p,200,https://doc.rust-lang.org/book/ch10-03-lifetime-syntax.html,0,valid,,
