phase,url,indexable,canonical,canonical_target_status,robots_directives,sitemap_included
baseline,https://rust.robertdevore.com/,True,https://rust.robertdevore.com/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/,True,https://rust.robertdevore.com/course/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/01-start/,True,https://rust.robertdevore.com/course/01-start/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/02-values/,True,https://rust.robertdevore.com/course/02-values/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/03-ownership/,True,https://rust.robertdevore.com/course/03-ownership/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/04-borrowing/,True,https://rust.robertdevore.com/course/04-borrowing/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/05-text/,True,https://rust.robertdevore.com/course/05-text/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/06-model/,True,https://rust.robertdevore.com/course/06-model/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/07-errors/,True,https://rust.robertdevore.com/course/07-errors/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/08-first-build/,True,https://rust.robertdevore.com/course/08-first-build/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/09-lifetimes/,True,https://rust.robertdevore.com/course/09-lifetimes/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/10-traits/,True,https://rust.robertdevore.com/course/10-traits/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/11-iterators/,True,https://rust.robertdevore.com/course/11-iterators/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/12-reader/,True,https://rust.robertdevore.com/course/12-reader/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/13-cargo/,True,https://rust.robertdevore.com/course/13-cargo/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/14-testing/,True,https://rust.robertdevore.com/course/14-testing/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/15-interior/,True,https://rust.robertdevore.com/course/15-interior/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/16-threads/,True,https://rust.robertdevore.com/course/16-threads/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/17-synchronization/,True,https://rust.robertdevore.com/course/17-synchronization/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/18-atomics/,True,https://rust.robertdevore.com/course/18-atomics/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/19-futures/,True,https://rust.robertdevore.com/course/19-futures/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/20-async/,True,https://rust.robertdevore.com/course/20-async/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/21-pin/,True,https://rust.robertdevore.com/course/21-pin/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/22-async-build/,True,https://rust.robertdevore.com/course/22-async-build/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/23-unsafe/,True,https://rust.robertdevore.com/course/23-unsafe/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/24-performance/,True,https://rust.robertdevore.com/course/24-performance/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/25-horizon/,True,https://rust.robertdevore.com/course/25-horizon/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/26-interop/,True,https://rust.robertdevore.com/course/26-interop/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/27-capstone/,True,https://rust.robertdevore.com/course/27-capstone/,200,"index,follow",True
baseline,https://rust.robertdevore.com/course/28-release/,True,https://rust.robertdevore.com/course/28-release/,200,"index,follow",True
baseline,https://rust.robertdevore.com/practice/,True,https://rust.robertdevore.com/practice/,200,"index,follow",True
baseline,https://rust.robertdevore.com/about/,True,https://rust.robertdevore.com/about/,200,"index,follow",True
