phase,url,schema_types,issues
baseline,https://rust.robertdevore.com/,,
baseline,https://rust.robertdevore.com/course/,,
baseline,https://rust.robertdevore.com/course/01-start/,,
baseline,https://rust.robertdevore.com/course/02-values/,,
baseline,https://rust.robertdevore.com/course/03-ownership/,,
baseline,https://rust.robertdevore.com/course/04-borrowing/,,
baseline,https://rust.robertdevore.com/course/05-text/,,
baseline,https://rust.robertdevore.com/course/06-model/,,
baseline,https://rust.robertdevore.com/course/07-errors/,,
baseline,https://rust.robertdevore.com/course/08-first-build/,,
baseline,https://rust.robertdevore.com/course/09-lifetimes/,,
baseline,https://rust.robertdevore.com/course/10-traits/,,
baseline,https://rust.robertdevore.com/course/11-iterators/,,
baseline,https://rust.robertdevore.com/course/12-reader/,,
baseline,https://rust.robertdevore.com/course/13-cargo/,,
baseline,https://rust.robertdevore.com/course/14-testing/,,
baseline,https://rust.robertdevore.com/course/15-interior/,,
baseline,https://rust.robertdevore.com/course/16-threads/,,
baseline,https://rust.robertdevore.com/course/17-synchronization/,,
baseline,https://rust.robertdevore.com/course/18-atomics/,,
baseline,https://rust.robertdevore.com/course/19-futures/,,
baseline,https://rust.robertdevore.com/course/20-async/,,
baseline,https://rust.robertdevore.com/course/21-pin/,,
baseline,https://rust.robertdevore.com/course/22-async-build/,,
baseline,https://rust.robertdevore.com/course/23-unsafe/,,
baseline,https://rust.robertdevore.com/course/24-performance/,,
baseline,https://rust.robertdevore.com/course/25-horizon/,,
baseline,https://rust.robertdevore.com/course/26-interop/,,
baseline,https://rust.robertdevore.com/course/27-capstone/,,
baseline,https://rust.robertdevore.com/course/28-release/,,
baseline,https://rust.robertdevore.com/practice/,,
baseline,https://rust.robertdevore.com/about/,,
