phase,source_url,source_variant,http_status,target_url,chain_length,final_status,canonical_target,query_preserved,verification,issues
baseline,https://rust.robertdevore.com/,https://rust.robertdevore.com/,200,https://rust.robertdevore.com/,0,200,https://rust.robertdevore.com/,n/a,observed,
baseline,http://rust.robertdevore.com/,http://rust.robertdevore.com/,301,https://rust.robertdevore.com/,1,200,https://rust.robertdevore.com/,n/a,observed,
baseline,https://rust.robertdevore.com/course/03-ownership,https://rust.robertdevore.com/course/03-ownership,307,https://rust.robertdevore.com/course/03-ownership/,1,200,https://rust.robertdevore.com/course/03-ownership/,n/a,observed,
baseline,https://rust.robertdevore.com/course/03-ownership?ref=audit,https://rust.robertdevore.com/course/03-ownership?ref=audit,307,https://rust.robertdevore.com/course/03-ownership/?ref=audit,1,200,https://rust.robertdevore.com/course/03-ownership/,True,observed,
baseline,https://rust.robertdevore.com/course/03-ownership/?ref=audit,https://rust.robertdevore.com/course/03-ownership/?ref=audit,200,https://rust.robertdevore.com/course/03-ownership/?ref=audit,0,200,https://rust.robertdevore.com/course/03-ownership/,True,observed,
baseline,https://rust.robertdevore.com/index.html,https://rust.robertdevore.com/index.html,307,https://rust.robertdevore.com/,1,200,https://rust.robertdevore.com/,n/a,observed,
baseline,https://rust.robertdevore.com/course/03-ownership/index.html,https://rust.robertdevore.com/course/03-ownership/index.html,307,https://rust.robertdevore.com/course/03-ownership/,1,200,https://rust.robertdevore.com/course/03-ownership/,n/a,observed,
baseline,https://rust.robertdevore.com/not-a-real-page/,https://rust.robertdevore.com/not-a-real-page/,404,https://rust.robertdevore.com/not-a-real-page/,0,404,https://rust.robertdevore.com/not-a-real-page/,n/a,observed,
baseline,https://www.rust.robertdevore.com/,https://www.rust.robertdevore.com/,0,https://www.rust.robertdevore.com/,0,0,https://www.rust.robertdevore.com/,n/a,DNS/TLS/network unavailable,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
baseline,http://www.rust.robertdevore.com/,http://www.rust.robertdevore.com/,0,http://www.rust.robertdevore.com/,0,0,http://www.rust.robertdevore.com/,n/a,DNS/TLS/network unavailable,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
after,https://rust.robertdevore.com/,https://rust.robertdevore.com/,200,https://rust.robertdevore.com/,0,200,https://rust.robertdevore.com/,n/a,observed,
after,http://rust.robertdevore.com/,http://rust.robertdevore.com/,301,https://rust.robertdevore.com/,1,200,https://rust.robertdevore.com/,n/a,observed,
after,https://rust.robertdevore.com/course/03-ownership,https://rust.robertdevore.com/course/03-ownership,301,https://rust.robertdevore.com/course/03-ownership/,1,200,https://rust.robertdevore.com/course/03-ownership/,n/a,observed,
after,https://rust.robertdevore.com/course/03-ownership?ref=audit,https://rust.robertdevore.com/course/03-ownership?ref=audit,301,https://rust.robertdevore.com/course/03-ownership/?ref=audit,1,200,https://rust.robertdevore.com/course/03-ownership/,True,observed,
after,https://rust.robertdevore.com/course/03-ownership/?ref=audit,https://rust.robertdevore.com/course/03-ownership/?ref=audit,200,https://rust.robertdevore.com/course/03-ownership/?ref=audit,0,200,https://rust.robertdevore.com/course/03-ownership/,True,observed,
after,https://rust.robertdevore.com/index.html,https://rust.robertdevore.com/index.html,301,https://rust.robertdevore.com/,1,200,https://rust.robertdevore.com/,n/a,observed,
after,https://rust.robertdevore.com/course/03-ownership/index.html,https://rust.robertdevore.com/course/03-ownership/index.html,301,https://rust.robertdevore.com/course/03-ownership/,1,200,https://rust.robertdevore.com/course/03-ownership/,n/a,observed,
after,https://rust.robertdevore.com/not-a-real-page/,https://rust.robertdevore.com/not-a-real-page/,404,https://rust.robertdevore.com/not-a-real-page/,0,404,https://rust.robertdevore.com/not-a-real-page/,n/a,observed,
after,https://www.rust.robertdevore.com/,https://www.rust.robertdevore.com/,0,https://www.rust.robertdevore.com/,0,0,https://www.rust.robertdevore.com/,n/a,DNS/TLS/network unavailable,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
after,http://www.rust.robertdevore.com/,http://www.rust.robertdevore.com/,0,http://www.rust.robertdevore.com/,0,0,http://www.rust.robertdevore.com/,n/a,DNS/TLS/network unavailable,"<urlopen error [Errno 8] nodename nor servname provided, or not known>"
