phase,url,schema_types,issues
after,https://rust.robertdevore.com/,Person|WebSite|WebPage,
after,https://rust.robertdevore.com/course/,Person|WebSite|CollectionPage|Course,
after,https://rust.robertdevore.com/course/01-start/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/02-values/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/03-ownership/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/04-borrowing/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/05-text/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/06-model/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/07-errors/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/08-first-build/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/09-lifetimes/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/10-traits/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/11-iterators/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/12-reader/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/13-cargo/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/14-testing/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/15-interior/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/16-threads/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/17-synchronization/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/18-atomics/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/19-futures/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/20-async/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/21-pin/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/22-async-build/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/23-unsafe/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/24-performance/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/25-horizon/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/26-interop/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/27-capstone/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/course/28-release/,Person|WebSite|WebPage|LearningResource|BreadcrumbList,
after,https://rust.robertdevore.com/practice/,Person|WebSite|WebPage,
after,https://rust.robertdevore.com/about/,Person|WebSite|AboutPage,
